realization,al,alkalinity,as,ba,ca,cl,cr,f,fe,k,mg,mn,na,p,ph,s6,si,sr,u,is_base,iteration
36,1.980989904312999e-08,0.0025842676389802293,1.3217700920599985e-09,9.83907774198e-07,0.00041992660905980014,6.232047223823994e-05,1.4058320019430011e-08,8.895933891090993e-05,8.904037574153996e-06,4.198014091354996e-05,2.7819867475930013e-05,2.5474063047499985e-07,0.0027505205288640014,1.3553410864460006e-09,1.0945510422245676e-08,0.0002500663598295001,0.00014051899743949996,2.877691694949999e-06,2.5705856165379997e-10,False,3
37,1.7997317266419983e-08,0.0025107706343173294,1.7703967928619971e-09,8.277875432800008e-07,0.0005209940274224002,6.367691775616001e-05,1.6675782529819995e-08,8.928416762549995e-05,1.0473926893739992e-05,4.224321266539004e-05,3.4933568980609975e-05,3.410056922724001e-07,0.002721855681570999,1.2157300274879977e-09,1.288072031570337e-08,0.00044343462928339984,0.0001395651168797,1.1508118138539996e-06,2.4232990267069974e-10,False,3
38,2.0547668689689983e-08,0.0024854000968592203,1.1017406634790017e-09,1.2796569420019995e-06,0.0004137006418251998,7.114029656854003e-05,9.979511439417989e-09,8.916830940159008e-05,8.181466836112995e-06,4.2148906580719956e-05,2.739488630055001e-05,3.2681049184079993e-07,0.002740085017488001,1.3043439301509977e-09,1.0390524087069982e-08,0.00024302777552619997,0.00013990980048830004,3.184371363963997e-06,8.403155389272989e-11,False,3
39,2.134047953170001e-08,0.00259260923035678,1.9800830362e-09,1.028850378964001e-06,0.0003690560961520999,6.451292485258004e-05,7.188737456733996e-09,8.930708956191004e-05,8.057832759443996e-06,4.226106941411997e-05,2.4267345505670023e-05,2.324449136005e-07,0.002720704526468,1.4240200737649985e-09,9.795696193244983e-09,0.00014044989846799993,0.0001395067234088999,4.1734217781329975e-06,2.4330716802410025e-10,False,3
4,1.5107002101449995e-08,0.0026333926642236978,2.4977036020589966e-09,1.0791043573230001e-06,0.0006841764577754999,6.697881349540997e-05,9.58003847597998e-09,8.928091290912002e-05,1.338220866997999e-05,4.223864709927001e-05,4.646864115049996e-05,3.2032341017320006e-07,0.002725317336718999,1.1786877994930015e-09,1.713975436167305e-08,0.0006904719731609001,0.00013956707408470002,3.9243983508510015e-06,8.403003229853992e-11,False,3
40,7.82031974493299e-09,0.004470411309383732,4.1835320227119975e-09,2.946792000971999e-06,0.0013911448179760003,5.236853350413997e-05,6.0930322550650005e-09,8.911084589551992e-05,3.2958966646149984e-05,4.209803805537998e-05,8.331737147634002e-05,2.3073916961180021e-07,0.0027265154419379993,1.9238449062320033e-09,5.651178720673083e-08,0.0005377786476097999,0.00014006054449030003,1.5858640157790005e-06,8.699985343305015e-11,False,3
41,1.964437777978001e-08,0.0026018958538649613,1.1974873530529987e-09,7.982674990403001e-07,0.0004251728918033001,6.924792190793996e-05,1.2200957683479991e-08,8.916662639954006e-05,9.015999881296996e-06,4.214720421598001e-05,2.8193582181549974e-05,2.6186591683790014e-07,0.0027383593709460006,1.3579608709169987e-09,1.1141872510682469e-08,0.0002638456348067,0.00013991429735339995,2.181127826908999e-06,1.1894780250199994e-10,False,3
42,1.978628906160999e-08,0.0025313357515904314,1.2280434573039983e-09,1.133586602831999e-06,0.0004312462886847,7.311697349566999e-05,1.2389393374380004e-08,8.908618713104e-05,9.028368824497994e-06,4.208245101615001e-05,2.8578929856119996e-05,3.2667949622029975e-07,0.002749629567647001,1.3104117529550005e-09,1.1003239518682494e-08,0.0002531145437724999,0.00014014881180190005,3.076368054541001e-06,1.954585779077002e-10,False,3
43,1.7567921025590004e-08,0.0024924390828549208,1.0525402614879992e-09,6.879626220155999e-07,0.0005422482497238999,6.300285113108003e-05,1.4098949275650006e-08,8.855255519117003e-05,1.077671309313e-05,4.1651391269259964e-05,3.6467088542059984e-05,3.810809303585001e-07,0.0027886303820850015,1.1970313265289989e-09,1.3193357867899562e-08,0.0005004785759602003,0.00014170169568250001,3.5379930597889974e-06,1.6652158796789975e-10,False,3
44,1.899080948986001e-08,0.00249890711649367,1.2355565945269996e-09,1.0198269554089994e-06,0.0004712228167921001,6.712098703817e-05,1.791450266511001e-08,8.905342910288997e-05,9.643039137861006e-06,4.205592639395e-05,3.1387155473239984e-05,3.294405452129001e-07,0.002746606353819,1.2523165390849988e-09,1.1749296623872342e-08,0.00033282988565729987,0.00014024188075859996,3.2752536878899983e-06,1.5396644861090013e-10,False,3
45,1.8530719330300004e-08,0.001998512144242529,1.0577409081569986e-09,5.933059277568994e-07,0.0006484126279345,6.570406644244996e-05,2.123878937985998e-08,8.861665550645008e-05,8.461410701138006e-06,4.1703880343180024e-05,4.429613049489999e-05,3.051658630890001e-07,0.002785293505862999,8.875920067035996e-10,1.2265066648117113e-08,0.0008000077317649005,0.0001415098282288,1.9693878804839982e-06,8.402863410685005e-11,False,3
46,2.0551805742049995e-08,0.002427528073123451,1.903352663147001e-09,1.1651238623590003e-06,0.0004383761526270002,5.418521498400001e-05,4.746663431355994e-09,8.931735519936e-05,5.985131722801995e-06,4.2268527534859975e-05,2.9486959316359984e-05,2.4976022849519983e-07,0.002709402217373999,1.2531295121750004e-09,1.0470168008775628e-08,0.0005049671641554001,0.00013947542205919997,1.3158847867519987e-06,8.40322665407801e-11,False,3
47,1.8427750583470008e-08,0.0024162111211605,1.544467313549997e-09,1.319528911694999e-06,0.0005159485163732002,5.933722987830994e-05,1.3840566806560013e-08,8.901656178338995e-05,1.0250318390380003e-05,4.202590553670999e-05,3.450333699938e-05,3.1649901038600034e-07,0.0027421826308779993,1.1687515343649993e-09,1.2335144210136224e-08,0.00039751228501580006,0.00014034731406989997,1.867577003030001e-06,2.6618178700439996e-10,False,3
48,2.4650300646170018e-08,0.0026151472149393597,1.6657101155259982e-09,7.104180185191995e-07,0.00028685901014520004,6.415973164306e-05,6.861050896094987e-09,8.910329101101005e-05,6.649194239841999e-06,4.209746253871001e-05,1.8686176502679985e-05,2.3066410195359983e-07,0.002739176772959,1.6012861254419983e-09,7.789594660905794e-09,3.160839077490002e-05,0.0001401063896874,2.403144036433998e-06,8.403142573763992e-11,False,3
